INGREDIENT,CURRENT_STOCK_KG,MIN_LEVEL_KG,REORDER_ALERT,SUPPLIER,SUPPLIER_PHONE,LAST_ORDERED,WEEKLY_USAGE_KG,COST_TREND,NOTES
Plain Flour,12,5,NO,Booker Reading,0118 986 5851,15/01/2025,4.5,Stable,16kg bags
Butter,3,2,YES,Booker Reading,0118 986 5851,10/01/2025,1.8,Rising,5kg blocks
Cheddar Cheese,4,3,YES SOON,Booker Reading,0118 986 5851,12/01/2025,2.0,Stable,5kg blocks
Sausage Meat,8,5,NO,Treble Butchers,01344 420621,14/01/2025,3.5,Stable,Fresh daily
Eggs (trays),3,2,YES SOON,Local Farm,Facebook,13/01/2025,2.0,Stable,36 per tray
Pizza Flour,10,5,NO,Booker Reading,0118 986 5851,15/01/2025,3.0,Stable,Premium grade
Mozzarella,5,3,YES SOON,Booker Reading,0118 986 5851,11/01/2025,2.5,Rising,Grated packs
Tomato Passata,12,6,NO,Booker Reading,0118 986 5851,15/01/2025,4.0,Stable,Carton of 12
Yeast,1,0.5,NO,Booker Reading,0118 986 5851,10/01/2025,0.3,Stable,500g tubs
Shortcrust Pastry,3,2,YES SOON,Booker Reading,0118 986 5851,08/01/2025,1.5,Stable,Ready-made
Cream,4L,2L,NO,Booker Reading,0118 986 5851,14/01/2025,1.5L,Stable,2L cartons
Bacon/Lardons,2,1,YES,Treble Butchers,01344 420621,10/01/2025,1.0,Rising,2.5kg packs
Spinach,1,0.5,NO,Booker Reading,0118 986 5851,16/01/2025,0.8,Rising,Pre-washed
Leeks,2,1,NO,Local Farm,Facebook,13/01/2025,0.5,Stable,Seasonal
Apples,3,1,NO,Local Farm,Facebook,13/01/2025,0.8,Stable,Cooking variety
Onions,5,2,NO,Booker Reading,0118 986 5851,15/01/2025,2.0,Stable,5kg bag

PACKAGING ITEMS,,,,,,,,,
Sausage Roll Boxes (pack 100),45,50,YES SOON,Amazon,Online,05/01/2025,24,Stable,Cardboard
Pizza Boxes (pack 50),32,40,YES SOON,Amazon,Online,05/01/2025,20,Stable,Various sizes
Quiche Boxes (pack 25),18,20,YES,Amazon,Online,05/01/2025,8,Stable,Premium look
Food Labels (roll 500),420,100,NO,Vistaprint,Online,01/01/2025,50,Stable,Branded
Baking Parchment,1,0,NO,Booker Reading,0118 986 5851,10/01/2025,0.5,Stable,Essential
Foil Containers,60,30,NO,Amazon,Online,05/01/2025,15,Stable,For samples
Paper Bags (pack 200),156,50,NO,Amazon,Online,05/01/2025,40,Stable,Small orders

URGENT REORDER NEEDED,,,,,,,,,
Bacon/Lardons,2kg from Treble Butchers,,,,,,,,
Quiche Boxes,1 pack from Amazon,,,,,,,,
